r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
30,26,19,6,10,11,0,25.81
12,14,20,23,10,10,1,17.63
18,21,17,2,12,12,1,61.5
29,12,18,14,12,12,1,52.06
18,7,23,29,12,12,1,67.07
18,14,30,22,7,9,0,4.94
3,23,9,24,10,11,0,20.51
20,24,25,3,12,12,1,79.53
5,2,30,9,10,11,0,26.49
25,4,14,3,12,12,1,58.33
7,1,16,21,12,12,1,58.19
5,24,9,22,12,12,1,53.77
27,28,7,22,12,12,1,53.48
15,13,11,21,12,12,1,57.23
9,9,21,21,12,12,1,58.62
8,8,2,19,12,12,1,58.03
6,29,27,25,12,12,1,60.35
21,5,26,30,12,12,1,68.84
1,1,13,5,12,12,1,61.39
29,22,18,2,12,12,1,66.51
19,13,9,5,7,9,0,3.42
3,15,21,27,12,12,1,58.32
10,29,1,2,12,12,1,59.01
18,2,17,27,12,12,1,63.37
9,6,4,5,12,12,1,59.68
2,30,7,28,7,9,0,3.86
14,28,2,2,12,12,1,68.23
21,3,30,27,12,12,1,64.81
17,16,17,12,10,10,1,19.29
4,11,2,5,12,12,1,59.91
18,2,15,22,12,12,1,63.67
5,29,13,25,12,12,1,60.33
27,10,24,6,12,12,1,61.92
7,12,13,17,10,11,0,17.9
11,4,14,12,12,12,1,58.8
5,19,3,2,12,12,1,64.13
10,27,26,21,12,12,1,60.64
18,11,14,10,10,10,1,17.03
11,12,9,11,10,11,0,25.44
24,24,17,17,12,12,1,61.69
14,27,8,17,12,12,1,58.85
18,7,11,30,12,12,1,60.25
11,17,26,13,12,12,1,56.84
31,29,19,16,12,12,1,66.92
4,5,21,27,10,11,0,17.31
15,17,18,24,7,9,0,4.45
28,27,19,23,12,12,1,59.9
17,18,1,29,12,12,1,61.66
23,29,29,15,12,12,1,65.28
1,24,17,9,12,12,1,62.45
3,9,26,11,12,12,1,65.47
3,10,2,28,12,12,1,65.08
13,2,24,9,12,12,1,68.5
11,24,5,9,12,12,1,57.1
26,13,26,4,10,10,1,20.04
28,22,10,4,10,11,0,30.1
1,17,4,5,12,12,1,54.2
11,30,24,11,12,12,1,71.31
26,11,19,3,12,12,1,59.23
15,9,16,15,12,12,1,63.13
30,12,30,24,10,10,1,20.7
13,27,29,30,12,12,1,71.1
3,30,19,26,12,12,1,63.94
2,5,2,17,10,10,1,20.06
15,19,5,18,12,12,1,86.03
25,6,9,21,10,11,0,25.92
1,14,24,22,12,12,1,58.16
19,2,12,14,12,12,1,68.38
13,10,30,22,10,11,0,17.86
29,25,22,1,12,12,1,62.96
29,3,30,3,7,9,0,5.32
28,1,13,9,12,12,1,59.45
