metric=q combos=1048576 done=138000 todo=910576 procs=2
518000/910576  2632.6s elapsed, 196.8/s, eta 1995s
520000/910576  2642.5s elapsed, 196.8/s, eta 1985s
522000/910576  2652.3s elapsed, 196.8/s, eta 1974s
524000/910576  2662.4s elapsed, 196.8/s, eta 1964s
526000/910576  2672.6s elapsed, 196.8/s, eta 1954s
528000/910576  2682.4s elapsed, 196.8/s, eta 1944s
530000/910576  2692.5s elapsed, 196.8/s, eta 1933s
532000/910576  2702.4s elapsed, 196.9/s, eta 1923s
534000/910576  2712.4s elapsed, 196.9/s, eta 1913s
536000/910576  2722.4s elapsed, 196.9/s, eta 1903s
538000/910576  2732.6s elapsed, 196.9/s, eta 1892s
540000/910576  2743.1s elapsed, 196.9/s, eta 1882s
542000/910576  2753.0s elapsed, 196.9/s, eta 1872s
544000/910576  2763.4s elapsed, 196.9/s, eta 1862s
546000/910576  2773.7s elapsed, 196.8/s, eta 1852s
548000/910576  2783.7s elapsed, 196.9/s, eta 1842s
550000/910576  2793.1s elapsed, 196.9/s, eta 1831s
552000/910576  2802.4s elapsed, 197.0/s, eta 1820s
554000/910576  2811.6s elapsed, 197.0/s, eta 1810s
556000/910576  2821.0s elapsed, 197.1/s, eta 1799s
558000/910576  2830.6s elapsed, 197.1/s, eta 1789s
560000/910576  2840.3s elapsed, 197.2/s, eta 1778s
562000/910576  2850.0s elapsed, 197.2/s, eta 1768s
564000/910576  2859.8s elapsed, 197.2/s, eta 1757s
566000/910576  2869.6s elapsed, 197.2/s, eta 1747s
568000/910576  2879.5s elapsed, 197.3/s, eta 1737s
570000/910576  2889.4s elapsed, 197.3/s, eta 1726s
572000/910576  2899.8s elapsed, 197.3/s, eta 1716s
574000/910576  2910.0s elapsed, 197.3/s, eta 1706s
576000/910576  2919.8s elapsed, 197.3/s, eta 1696s
578000/910576  2929.4s elapsed, 197.3/s, eta 1686s
580000/910576  2939.6s elapsed, 197.3/s, eta 1675s
582000/910576  2949.8s elapsed, 197.3/s, eta 1665s
584000/910576  2960.2s elapsed, 197.3/s, eta 1655s
586000/910576  2971.0s elapsed, 197.2/s, eta 1646s
588000/910576  2981.4s elapsed, 197.2/s, eta 1636s
590000/910576  2992.2s elapsed, 197.2/s, eta 1626s
592000/910576  3002.6s elapsed, 197.2/s, eta 1616s
594000/910576  3013.2s elapsed, 197.1/s, eta 1606s
596000/910576  3023.7s elapsed, 197.1/s, eta 1596s
598000/910576  3034.3s elapsed, 197.1/s, eta 1586s
600000/910576  3044.8s elapsed, 197.1/s, eta 1576s
602000/910576  3055.1s elapsed, 197.0/s, eta 1566s
604000/910576  3065.6s elapsed, 197.0/s, eta 1556s
606000/910576  3076.4s elapsed, 197.0/s, eta 1546s
