r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
12,2,31,21,1,4000,0.26809,0.50000,19443
30,4,24,18,1,4000,0.26999,0.50000,31796
22,14,27,22,1,4000,0.37461,0.50000,5326
23,15,18,5,1,4000,0.34720,0.50000,7548
2,17,11,17,1,4000,0.34529,0.50000,8937
23,5,21,25,1,4000,0.33650,0.50000,21680
26,29,7,11,1,4000,0.31785,0.50000,25392
4,5,29,5,1,4000,0.30108,0.50000,17545
21,18,27,23,1,4000,0.37575,0.50000,4192
4,5,13,20,1,4000,0.36900,0.50000,7940
29,23,7,6,1,4000,0.33423,0.50000,19479
17,9,14,24,1,4000,0.36394,0.50000,9683
29,30,18,10,1,4000,0.28929,0.50000,27193
28,16,21,29,1,4000,0.35856,0.50000,4655
26,18,30,7,1,4000,0.34217,0.50000,3484
26,25,20,11,1,4000,0.35732,0.50000,8518
2,19,6,22,1,4000,0.36212,0.50000,11952
4,8,19,7,1,4000,0.37261,0.50000,8927
17,19,22,29,1,4000,0.37437,0.50000,6457
10,14,11,1,1,4000,0.37264,0.50000,7847
25,1,27,10,1,4000,0.24422,0.50000,47109
27,20,8,3,1,4000,0.36469,0.50000,9775
30,13,12,30,1,4000,0.34605,0.50000,5994
24,21,23,8,1,4000,0.36208,0.50000,3985
4,22,11,9,1,4000,0.33648,0.50000,19588
1,17,29,11,1,4000,0.29921,0.50000,3793
30,26,26,21,1,4000,0.31871,0.50000,23890
30,28,9,13,1,4000,0.30611,0.50000,28848
20,24,17,13,1,4000,0.37217,0.50000,6582
1,4,11,12,1,4000,0.33257,0.50000,11207
5,4,9,29,1,4000,0.35425,0.50000,7583
25,5,22,19,1,4000,0.30921,0.50000,23951
2,12,3,3,1,4000,0.33005,0.50000,2419
24,4,10,11,1,4000,0.34883,0.50000,14190
8,9,17,2,1,4000,0.36330,0.50000,7497
12,1,3,5,1,4000,0.30060,0.50000,15210
18,9,31,17,1,4000,0.33309,0.50000,12774
9,16,5,13,1,4000,0.36496,0.50000,7580
23,4,24,12,1,4000,0.30991,0.50000,26035
3,21,18,12,1,4000,0.37121,0.50000,10556
24,17,22,19,1,4000,0.37086,0.50000,4690
1,20,10,15,1,4000,0.30628,0.50000,14620
3,22,19,20,1,4000,0.36520,0.50000,11849
24,17,16,19,1,4000,0.34121,0.50000,7364
10,29,8,21,1,4000,0.32439,0.50000,17510
10,18,5,2,1,4000,0.36857,0.50000,11232
20,17,4,6,1,4000,0.37001,0.50000,6624
8,7,29,14,1,4000,0.35174,0.50000,8795
9,18,1,9,1,4000,0.34741,0.50000,10405
30,19,5,22,1,4000,0.36050,0.50000,8480
29,27,7,16,1,4000,0.30559,0.50000,28891
27,26,28,25,1,4000,0.32511,0.50000,22214
11,12,29,10,1,4000,0.35174,0.50000,5813
6,5,28,26,1,4000,0.31781,0.50000,14247
13,27,15,13,1,4000,0.37317,0.50000,9927
4,20,5,9,1,4000,0.36429,0.50000,14608
21,20,31,1,1,4000,0.32348,0.50000,6714
24,18,31,29,1,4000,0.34801,0.50000,4114
4,15,1,25,1,4000,0.31526,0.50000,3484
14,20,22,14,1,4000,0.35258,0.50000,8341
9,30,12,14,1,4000,0.32539,0.50000,13355
13,20,15,2,1,4000,0.33852,0.50000,12318
26,20,8,4,1,4000,0.36592,0.50000,9487
18,31,12,28,1,4000,0.30477,0.50000,14444
6,4,25,2,1,4000,0.33005,0.50000,17388
29,24,12,9,1,4000,0.36079,0.50000,14512
22,21,29,25,1,4000,0.34419,0.50000,6216
14,13,12,10,1,4000,0.35357,0.50000,8843
4,16,25,2,1,4000,0.36752,0.50000,5017
21,23,23,1,1,4000,0.35535,0.50000,5243
26,2,27,4,1,4000,0.23994,0.50000,44623
19,5,17,17,1,4000,0.37342,0.50000,11619
25,12,18,9,1,4000,0.34871,0.50000,9408
26,19,30,31,1,4000,0.33974,0.50000,4047
21,12,26,16,1,4000,0.34796,0.50000,9022
27,23,8,30,1,4000,0.34280,0.50000,15624
25,27,11,15,1,4000,0.36410,0.50000,14176
26,23,8,21,1,4000,0.33762,0.50000,14307
20,17,5,2,1,4000,0.36984,0.50000,6387
11,22,4,29,1,4000,0.33635,0.50000,20273
17,6,18,21,1,4000,0.36778,0.50000,10708
21,16,29,11,1,4000,0.35006,0.50000,4380
25,23,4,19,1,4000,0.35779,0.50000,14914
1,16,29,7,1,4000,0.28704,0.50000,3076
9,1,15,13,1,4000,0.32384,0.50000,8790
26,21,23,24,1,4000,0.37368,0.50000,4133
23,13,1,18,1,4000,0.34509,0.50000,4667
26,8,14,30,1,4000,0.36130,0.50000,11278
22,8,3,25,1,4000,0.33875,0.50000,11753
19,16,30,9,1,4000,0.30907,0.50000,5322
13,14,4,26,1,4000,0.34452,0.50000,6679
1,21,3,31,1,4000,0.33260,0.50000,16100
6,15,25,13,1,4000,0.37622,0.50000,4703
22,17,26,27,1,4000,0.37899,0.50000,4070
10,30,5,5,1,4000,0.29949,0.50000,21280
17,27,4,31,1,4000,0.33330,0.50000,19475
18,4,21,27,1,4000,0.36563,0.50000,13881
16,2,17,8,1,4000,0.30942,0.50000,9026
28,10,15,9,1,4000,0.37542,0.50000,8502
24,14,6,20,1,4000,0.37170,0.50000,4946
5,18,23,27,1,4000,0.36093,0.50000,6488
18,6,23,13,1,4000,0.35248,0.50000,16498
13,21,27,31,1,4000,0.35993,0.50000,9082
6,13,23,8,1,4000,0.36713,0.50000,5267
4,8,11,11,1,4000,0.37378,0.50000,5006
22,8,26,22,1,4000,0.32253,0.50000,17712
15,24,16,12,1,4000,0.34102,0.50000,8404
16,21,25,22,1,4000,0.37918,0.50000,6282
24,30,7,14,1,4000,0.32116,0.50000,24052
15,13,18,4,1,4000,0.30771,0.50000,10668
23,13,26,7,1,4000,0.37068,0.50000,6229
16,27,9,12,1,4000,0.36254,0.50000,12400
30,5,9,19,1,4000,0.33607,0.50000,12329
9,28,6,25,1,4000,0.30487,0.50000,24173
24,20,3,24,1,4000,0.35556,0.50000,8036
12,11,30,5,1,4000,0.34032,0.50000,6674
6,6,13,19,1,4000,0.35453,0.50000,5554
1,17,7,14,1,4000,0.34946,0.50000,7543
